排名,专业名称,专业层次,专业类别,开设院校,人气值,MBTI,壹心理
603,炭素加工技术,专科（高职）,非金属材料类,开设院校,20633,ISTP,
610,蒙药学,专科（高职）,药学类,开设院校,20632,INTJ/ISFJ,研究型
609,锻压技术,专科（高职）,机械设计制造类,开设院校,20632,ISTP,
612,矿山机电技术,专科（高职）,煤炭类,开设院校,20631,ISTP/INTJ,
613,船舶电气工程技术,专科（高职）,船舶与海洋工程装备类,开设院校,20631,ISTJ/ISTP,现实型、管理型
611,养蜂与蜂产品加工,专科（高职）,畜牧业类,开设院校,20631,INTJ/ESFJ,研究型
615,皮革加工技术,专科（高职）,轻化工类,开设院校,20630,ISTP,
614,建筑材料设备应用,专科（高职）,建筑材料类,开设院校,20630,ISTP/INTP/ENTJ,
616,金属精密成型技术,专科（高职）,有色金属材料类,开设院校,20629,INTJ/INTP,研究型
621,港口机械与自动控制,专科（高职）,水上运输类,开设院校,20629,ISTP,
619,航空材料精密成型技术,专科（高职）,航空装备类,开设院校,20629,ISTP/INTP,
617,橡胶工程技术,专科（高职）,非金属材料类,开设院校,20629,ISTP,
620,汽车运用安全管理,专科（高职）,道路运输类,开设院校,20629,ISTJ/ISTP/INTP,
618,船舶动力工程技术,专科（高职）,船舶与海洋工程装备类,开设院校,20629,ISTJ/ISTP,现实型、管理型
624,汽车造型技术,专科（高职）,汽车制造类,开设院校,20628,ISTP,
623,飞机机载设备制造技术,专科（高职）,航空装备类,开设院校,20628,ISTP/INTP,
622,游艇设计与制造,专科（高职）,船舶与海洋工程装备类,开设院校,20628,ISTJ/ISTP,现实型、管理型
625,皮具制作与工艺,专科（高职）,轻化工类,开设院校,20627,ISTP,
627,假肢与矫形器技术,专科（高职）,健康管理与促进类,开设院校,20627,ESFJ/ISFJ,研究型
626,家用纺织品设计,专科（高职）,纺织服装类,开设院校,20627,ISTP/ESFP,
630,少数民族古籍修复,专科（高职）,民族文化类,开设院校,20626,INTP/INFP,艺术型
628,综合机械化采煤,专科（高职）,煤炭类,开设院校,20626,ISTP/INTJ,
629,曲艺表演,专科（高职）,表演艺术类,开设院校,20626,INTJ/INFP/ENFP,艺术型
634,民族表演艺术,专科（高职）,民族文化类,开设院校,20625,INTP/INFP,艺术型
631,金属与非金属矿开采技术,专科（高职）,金属与非金属矿类,开设院校,20625,INTP/ISTP,研究型
632,轧钢工程技术,专科（高职）,黑色金属材料类,开设院校,20625,INTP/ISTP,研究型
633,钢铁冶金设备应用技术,专科（高职）,黑色金属材料类,开设院校,20625,INTP/ISTP,研究型
635,油气地质勘探技术,专科（高职）,石油与天然气类,开设院校,20624,ESFJ/ESTP,研究型
640,民族美术,专科（高职）,民族文化类,开设院校,20624,INTP/INFP,艺术型
636,矿井通风与安全,专科（高职）,煤炭类,开设院校,20624,ISTP/INTJ,
637,煤化分析与检验,专科（高职）,煤炭类,开设院校,20624,ISTP/INTJ,
639,康复辅助器具技术,专科（高职）,健康管理与促进类,开设院校,20624,ESFJ/ISFJ,研究型
638,铁矿资源综合利用,专科（高职）,黑色金属材料类,开设院校,20624,INTP/ISTP,研究型
641,汽车试验技术,专科（高职）,汽车制造类,开设院校,20623,ISTP,
643,皮革服装制作与工艺,专科（高职）,纺织服装类,开设院校,20623,ISTP/ESFP,
642,包装设备应用技术,专科（高职）,包装类,开设院校,20623,ISTP,
648,民族服装与服饰,专科（高职）,民族文化类,开设院校,20622,INTP/INFP,艺术型
644,矿业装备维护技术,专科（高职）,金属与非金属矿类,开设院校,20622,INTP/ISTP,研究型
647,航空油料,专科（高职）,航空运输类,开设院校,20622,ISTP/INTP,
645,纺织机电技术,专科（高职）,纺织服装类,开设院校,20622,ISTP/ESFP,
646,纺织材料与应用,专科（高职）,纺织服装类,开设院校,20622,ISTP/ESFP,
649,有色冶金设备应用技术,专科（高职）,有色金属材料类,开设院校,20621,INTJ/INTP,研究型
653,人口与家庭发展服务,专科（高职）,人口与计划生育类,开设院校,20621,ISFJ,现实型
654,民族传统技艺,专科（高职）,民族文化类,开设院校,20621,INTP/INFP,艺术型
652,航空发动机装试技术,专科（高职）,航空装备类,开设院校,20621,ISTP/INTP,
650,船舶舾装工程技术,专科（高职）,船舶与海洋工程装备类,开设院校,20621,ISTJ/ISTP,现实型、管理型
651,船舶通信与导航,专科（高职）,船舶与海洋工程装备类,开设院校,20621,ISTJ/ISTP,现实型、管理型
656,港口电气技术,专科（高职）,水上运输类,开设院校,20620,ISTP,
655,煤层气采输技术,专科（高职）,煤炭类,开设院校,20620,ISTP/INTJ,
657,金属压力加工,专科（高职）,有色金属材料类,开设院校,20619,INTJ/INTP,研究型
658,水上救捞技术,专科（高职）,水上运输类,开设院校,20619,ISTP,
659,船舶涂装工程技术,专科（高职）,船舶与海洋工程装备类,开设院校,20617,ISTJ/ISTP,现实型、管理型
660,民族民居装饰,专科（高职）,民族文化类,开设院校,20615,INTP/INFP,艺术型
661,卫生检验与检疫技术,专科（高职）,医学技术类,开设院校,20414,ESFJ/ISFJ,研究型
662,机械电子工程,本科,机械类,开设院校,20205,ISTP,
663,贸易经济,本科,经济与贸易类,开设院校,20024,INTJ/ESTP,社会型
664,预防医学,本科,公共卫生与预防医学类,开设院校,19946,ISFJ/ISFP,研究型
665,警察管理,专科（高职）,公安管理类,开设院校,19799,ESTP/ISFJ,现实型
666,电子商务及法律,本科,电子商务类,开设院校,19511,ENTJ,常规型
667,体育教育,本科,体育学类,开设院校,19281,ISTP,
668,航海技术,专科（高职）,水上运输类,开设院校,19253,ISTP,
669,环境工程技术,专科（高职）,环境保护类,开设院校,18975,INTJ/ENTJ,研究型、现实型
670,侦查学,本科,公安学类,开设院校,18896,ESTP/ISFJ,现实型
671,针灸推拿,专科（高职）,临床医学类,开设院校,18827,INTJ/ISFJ/ESFJ,研究型
672,农学,本科,植物生产类,开设院校,18788,INTJ/ENFJ/ENFP,社会型、现实型
673,行政执行,专科（高职）,法律执行类,开设院校,18515,INTJ/ESTP,社会型
674,矿山地质,专科（高职）,地质类,开设院校,18160,INTJ/ISTJ/INTP,研究型
675,应用物理学,本科,物理学类,开设院校,18074,ISTP/INTP,
676,电子商务,专科（高职）,电子商务类,开设院校,18020,ENTJ,常规型
677,伦理学,本科,哲学类,开设院校,17939,INFJ,社会型
678,导弹维修,专科（高职）,航空装备类,开设院校,17531,ISTP/INTP,
679,社会工作,专科（高职）,公共事业类,开设院校,17314,ISFJ/ESTJ,社会型
